185,"Jesus, these eyes have never seen","Jesus, These Eyes Have Never Seen","Ray Palmer",,,,"jesus_these_eyes_have_never_seen","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Jesus, these eyes have never seen


That radiant form of Thine;


The veil of sense hangs dark between


Thy blessed face and mine.



2 I see Thee not, I hear Thee not,


Yet art Thou oft with me;


And earth hath ne'er so dear a spot


As where I meet with Thee.



3 Like some bright dream that comes unsought,


When slumbers o'er me roll,


Thine image ever fills my thought,


And charms my ravished soul.



4 Yet though I have not seen, and still


Must rest in faith alone;


I love Thee, dearest Lord, and will,


Unseen, but not unknown.



5 When death these mortal eyes shall seal,


And still this throbbing heart,


The rending veil shall Thee reveal,


All glorious as Thou art.



Amen."
186,"O Jesus, joy of loving hearts","O Jesus, Joy of Loving Hearts","Ray Palmer",,,,"jesus_thou_joy_of_loving_hearts","HRGC1892","The Hymnal, Revised and Enlarged, as adopted by the General Convention of the Protestant Episcopal Church in the United States of America in the year of our Lord 1892",1894,,"1 Jesu, thou joy of loving hearts!


Thou Fount of life! Thou Light of men!


From the best bliss that earth imparts


We turn unfilled to Thee again.



2 Thy truth unchanged hath ever stood;


Thou savest those that on Thee call;


To them that seek Thee, Thou art good,


To them that find Thee, all in all.



3 We taste Thee, O Thou living Bread!


And long to feast upon Thee still;


We drink of Thee, the Fountain Head,


And thirst from Thee our souls to fill.



4 Our restless spirits yearn for Thee,


Where'er our changeful lot is cast;


Glad when Thy gracious smile we see,


Blest when our faith can hold Thee fast.



5 O Jesu, ever with us stay!


Make all our moments calm and bright!


Chase the dark night of sin away!


Shed o'er the world Thy holy light! Amen."
187,"Lord, my weak thought in vain would climb","Lord, My Weak Thought in Vain Would Climb","Ray Palmer",,,,"lord_my_weak_thought_in_vain_would_climb","TH1961","Trinity Hymnal",1961,,"Lord, my weak thought in vain would climb

To search the starry vault profound;

In vain would wing her flight sublime

To find creation's utmost bound.

But weaker yet that thought must prove

To search thy great eternal plan,

Thy sovereign counsels, born of love

Long ages ere the world began.

When my dim reason would demand

Why that, or this, thou dost ordain,

By some vast deep I seem to stand,

Whose secrets I must ask in vain.

When doubts disturb my troubled breast,

And all is dark as night to me,

Here, as on solid rock, I rest,--

That so it seemeth good to thee.

Be this my joy, that evermore

Thou rulest all things at thy will;

Thy sovereign wisdom I adore,

And calmly, sweetly, trust thee still."
188,"My faith looks up to thee","My Faith Looks Up to Thee","Ray Palmer",,,,"my_faith_looks_up_to_thee","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 My faith looks up to Thee,


Thou Lamb of Calvary,


Saviour divine!


Now hear me while I pray;


Take all my guilt away;


O let me from this day


Be wholly Thine.



2 May Thy rich grace impart


Strength to my fainting heart,


My zeal inspire;


As Thou hast died for me,


O may my love to Thee


Pure, warm, and changeless be,


A living fire.



3 While life's dark maze I tread,


And griefs around me spread,


Be Thou my Guide;


Bid darkness turn to day;


Wipe sorrow's tears away;


Nor let me ever stray


From Thee aside.



4 When ends life's transient dream,


When death's cold, sullen stream


Shall o'er me roll,


Blest Saviour, then, in love,


Fear and distrust remove;


Oh, bear me save above,


A ransom'd soul."
189,"Take me, O my Father, take me","Take Me, O My Father, Take Me","Ray Palmer",,,,"take_me_o_my_father_take_me","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Take me, O my Father, take me;


Take me, save me, through Thy Son;


That which Thou wouldst have me, make me,


Let Thy will in me be done.


Long from Thee my footsteps straying,


Thorny proved the way I trod;


Weary come I now, and praying,


Take me to Thy love, my God.



2 Fruitless years with grief recalling,


Humbly I confess my sin;


At Thy feet, O Father, falling,


To Thy household take me in.


Freely now to Thee I proffer


This relenting heart of mine;


Freely life and soul I offer,


Gift unworthy love like Thine.



3 Once the world's Redeemer, dying,


Bore our sins upon the tree;


On that sacrifice relying,


Now I look in hope to Thee:


Father, take me; all forgiving,


Fold me to Thy loving breast;


In Thy love for ever living


I must be for ever blest.



Amen."
190,"We stand in deep repentance",,"Ray Palmer",,,,"we_stand_in_deep_repentance","NCH1929","The New Christian Hymnal",1929,,"1. We stand in deep repentance


Before Thy throne of love;


O God of grace, forgive us,


The stain of guilt remove;


Behold us while with weeping


We lift our eyes to Thee,


And, all our sins subduing,


Our Father, set us free.



2. O shouldst Thou from us sinners


Withhold Thy grace to guide,


Forever we should wander


From Thee, and peace, aside;


But Thou to spirits contrite


Dost light and life impart,


That man may learn to serve Thee


With thankful, joyous heart.



3. Our souls--on Thee we cast them,


Our only refuge Thou!


Thy cheering words revive us,


When pressed with grief we bow;


Thou bear'st the trusting spirit


Upon Thy loving breast,


And givest all The ransomed


A sweet, unending rest."
191,"Pour forth the oil, pour boldly forth",,"Richard Chenevix Trench",,,,"pour_forth_the_oil_pour_boldly_forth","BHPPD866","A Book of Hymns for Public and Private Devotion (15th ed.)",1866,"Gender Neutral","Pour forth the oil,&#8212;pour boldly forth;


It will not fail, until


Thou failest vessels to provide


Which it may largely fill.



Make channels for the streams of love,


Where they may broadly run;


And love has overflowing streams,


To fill them every one.



But if at any time we cease


Such channels to provide,


The very founts of love for us


Will soon be parched and dried.



For we must share, if we would keep


That blessing from above;


Ceasing to give, we cease to have;&#8212;


Such is the law of love.



"
192,"So rest, my Rest","So Rest, My Rest","Salomo Franck","Richard Massie",,,"so_rest_my_rest","ELH","Evangelical Lutheran Hymnary",1996,"Gender Neutral","1 So rest, my Rest,


Thou Ever-blest!


Thy grave with sinners making;


By Thy precious death from sin


My dead soul awaking.



2 After Thy strife,


Life of my life,


Thy fervent love hath driven


Thee into the cold, dark grave


Thst I might gain heaven.



3 Breath of all breath!


I know from death


Thou wilt my dust awaken;


Wherefore should I dread the grave


Or my faith be shaken?



4 To me the tomb


Shall be a room


Where I lie down on roses;


Who by faith hath conquered death


Sweetly there reposes.



5 Meantime I will


My Savior, still


Deep in my bosom lay Thee,


Ever musing on Thy death.


Leave me not, I pray Thee!"
193,"Arise, my soul, with rapture rise",,"Samuel Francis Smith",,,,"arise_my_soul_with_rapture_rise","HPEC1871","Hymnal: according to the use of the Protestant Episcopal Church in the United States of America",1871,"Gender Neutral","1 Arise, my soul, with rapture rise,


And, fill'd with love and fear, adore


The awful Sovereign of the skies,


Whose mercy lends me one day more.



2 And may this day, indulgent Power,


Not idly pass, nor fruitless be;


But may each swiftly-flying hour


Still nearer bring my soul to Thee.



3 But can it be? That Power Divine


Is throned in light's unbounded blaze;


And countless worlds and angels join


To swell the glorious song of praise.



4 And will He deign to lend an ear,


When I, poor sinful mortal, pray?


Yes, boundless goodness! He will hear,


Nor cast the meanest wretch away.



5 Then let me serve Thee all my days,


And may my zeal with years increase;


For pleasant, Lord, are all Thy ways,


And all Thy paths are paths of peace.


"
194,"Down to the sacred wave",,"Samuel Francis Smith",,,,"down_to_the_sacred_wave","PWTNC","Praise and Worship (The Nazarene Hymnal)",1951,,"1 Down to the sacred wave


The Lord of Life was led;


And He who came our sould to save


In Jordan bowed His head.



2 He taught the solemn way;


He fixed the holy rite;


He bade His ransomed ones obey,


And keep the path of light.



3 Blest Saviour, we will tread


In Thy appointed way.


Let glory o'er these scenes be shed,


And smile on us today."
195,"Founded on Thee, our only Lord","Founded on Thee, our only Lord","Samuel Francis Smith",,,,"founded_on_thee_our_only_lord","HAGA1895","The Hymnal: published by the Authority of the General Assembly of the Presbyterian Church in the U.S.A.",1895,"Gender Neutral","1 Founded on Thee, our only Lord,


On Thee, the everlasting Rock,


The Church shall stand, as stands Thy word,


Nor fear the storm, nor dread the shock.



2 For Thee our waiting spirits yearn,


For Thee this house of praise we rear;


To Thee with longing hearts we turn:


Come, fix Thy glorious presence here.



3 Come, with Thy Spirit and Thy power,


The Conqueror, once the Crucified;


Our God, our Strength, our King, our Tower,


Here plant Thy throne, and here abide.



4 Accept the work our hands hath wrought;


Accept, O God, this earthly shrine;


Be Thou our Rock, our life, our thought,


And we, as living temples, Thine.



Amen."
